ce.colour;yellow;;;;;;;;;;;;;;;;
active.colour;orangered;;;;;;;;;;;;;;;;
aids.colour;springgreen;;;;;;;;;;;;;;;;
visible.colour;lightgrey;;;;;;;;;;;;;;;;
highlight.colour;brightred;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;Copy forumla to all cells in column to see the colour;;;;;;;
;;;;;;;;;;"=myRGB(H11;I11;J11)";;;;;;;
rule.name;rule.rule;rule.types;rule.description;transparency;edgeOn;colour;R;G;B;RGB;sort number;;;;;;
Grating floors;PURP EQ 'GRAT';SBFR SUBS FRMW;Grating floors;0;FALSE;;4;120;3;;1;;;;;;
Concrete floors;PURP EQ 'FLOO';SBFR FRMW SUBS;Concrete floors;0;FALSE;;2;200;124;;2;;;;;;
Walls;PURP EQ 'WALL';SBFR FRMW SUBE SUBS;Walls;0;FALSE;;4;40;140;;3;;;;;;
Rule for all Industrial Buildings GLAS;DESC EQ 'GLAS';STWALL GWALL PANE;Rule for all Industrial Buildings GLAS;0;FALSE;;5;60;5;;4;;;;;;
Rule for all Industrial Buildings floors;DESC EQ 'NET';STWALL GWALL PANE;Rule for all Industrial Buildings floors;0;FALSE;;231;41;3;;5;;;;;;
Rule for all Industrial Buildings floors;;STWALL GWALL;Rule for all Industrial Buildings floors;0;FALSE;54;;;;;6;;;;;;
ALL HVAC BRANCHES;TYPE OF OWNE EQ 'HVAC';BRAN;ALL HVAC BRANCHES;0;FALSE;cyan;;;;;7;;;;;;
Lifting section;PURPOSE EQ 'LIFT';SCTN;Lifting section;0;FALSE;brightred;;;;;8;;;;;;
Supp;TYPE OF OWNE EQ 'SBFR' AND STR(SUPREF OF FRMW) NE '=0/0';SCTN;Supp;0;FALSE;243;;;;;9;;;;;;
Structural Foundations;PURP EQ 'FOUN' AND PURP OF ZONE NE 'OFFF' AND PURP OF STRU NE '';SBFR SUBS;Structural Foundations;0;FALSE;51;;;;;10;;;;;;
Piping Additive;FUNC OF ZONE EQ 'SSG A' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Additive;0;FALSE;14;;;;;11;;;;;;
Piping White Water;FUNC OF ZONE EQ 'SSG B' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping White Water;0;FALSE;245;;;;;12;;;;;;
Piping Condensate;FUNC OF ZONE EQ 'SSG C' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Condensate;0;FALSE;239;;;;;13;;;;;;
Piping Effluent;FUNC OF ZONE EQ 'SSG D' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Effluent;0;FALSE;254;;;;;14;;;;;;
Piping Fibre raw material and components of (Chips);FUNC OF ZONE EQ 'SSG F' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Fibre raw material and components of (Chips);0;FALSE;229;;;;;15;;;;;;
Piping Gases;FUNC OF ZONE EQ 'SSG G' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Gases;0;FALSE;216;;;;;16;;;;;;
Piping Chemicals;FUNC OF ZONE EQ 'SSG K' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Chemicals;0;FALSE;225;;;;;17;;;;;;
Piping Liqor, liqor by-products;FUNC OF ZONE EQ 'SSG L01' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Liqor, liqor by-products;0;FALSE;208;;;;;18;;;;;;
Piping Sludges and pigments;FUNC OF ZONE EQ 'SSG M' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Sludges and pigments;0;FALSE;230;;;;;19;;;;;;
Piping Oil, oil derivates, lubricating oil, coal;FUNC OF ZONE EQ 'SSG O' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Oil, oil derivates, lubricating oil, coal;0;FALSE;242;;;;;20;;;;;;
Piping Pulp and fibre suspension;FUNC OF ZONE EQ 'SSG P' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Pulp and fibre suspension;0;FALSE;227;;;;;21;;;;;;
Piping Steam;FUNC OF ZON EQ 'SSG S' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Steam;0;FALSE;241;;;;;22;;;;;;
Piping Vapour;FUNC OF ZONE EQ 'SSG V' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Vapour;0;FALSE;5;;;;;23;;;;;;
Piping Water;FUNC OF ZONE EQ 'SSG W' AND PURP OF ZONE EQ 'PIPE';BRAN;Piping Water;0;FALSE;7;;;;;24;;;;;;
Rule for all piping branches;SUBSTR ( NAME OF SITE, 1 , 6) INSET( '/PTEIA','/PTEIB','/PTEIC','/PTEHA','/PTEHB','/PTEHC');BRAN;Rule for all piping branches;0;FALSE;14;;;;;25;;;;;;
Rule for all cable tray branches;PSPE EQ /WIBE;BRAN;Rule for all cable tray branches;0;FALSE;wheat;;;;;26;;;;;;
Rule for all PPA piping branches;SUBSTR ( NAME OF SITE, 1 , 6) INSET( '/PTEIA','/PTEIB','/PTEIC','/PTEHA','/PTEHB','/PTEHC');EQUI;Rule for all PPA piping branches;0;FALSE;pink;;;;;27;;;;;;
EQUI INSU;UPCASE(SUBSTR(PART(NAME,3,'/'),1,4)) EQ 'INSU';SUBE;EQUI INSU;50;FALSE;springgreen;;;;;28;;;;;;
EQUI INSU;PURP EQ 'INSU';SUBE;EQUI INSU;50;FALSE;springgreen;;;;;29;;;;;;
Equipment New;PURP OF ZONE EQ 'CLIE';SUBE;Equipment New;0;FALSE;green;;;;;30;;;;;;
Rule for all Industrial Buildings floors;;FLOOR;Rule for all Industrial Buildings floors;0;FALSE;khaki;;;;;31;;;;;;
Primary steel royalblue;FUNC OF ZONE EQ 'VOF' AND PURP OF ZONE OF HREF NEQ 'OFF';HANG;Primary steel royalblue;0;FALSE;239;;;;;32;;;;;;
